ID,ABCD_Final,ABC_Final,ABC_Subclass,D,D_Score,R1_Proximity,R2_Proximity,R1_Contact,R2_Contact,R1_Resistance,R2_Resistance,R1_Avoidance,R2_Avoidance,Approach/Avoidance,Resistance/Disorganization,ContactInitiation_R1,ContactInitiation_R2,InfantInitialApproach_R1,InfantInitialApproach_R2,TimeHeld_R1,TimeHeld_2,ContactDuration_R1,ContactDuration_R2,Crying_R1,Crying_R2,InfantVelocityToward_R1,InfantVelocityToward_R2,InfantVelocityAway_R1,InfantVelocityAway_R2,MotherVelocityToward_R1,MotherVelocityToward_R2,MotherVelocityAway_R1,MotherVelocityAway_R2,MotherInitialApproach_R1,MotherInitialApproach_R2,MotherInitialApproach_overall,ContactInitiation_overall,InfantInitialApproach_overall,TimeHeld_overall,ContactDuration_overall,Crying_overall,InfantVelocityToward_overall,InfantVelocityAway_overall,MotherVelocityAway_overall,MotherVelocityToward_overall
1010,2,2,B2,0,2.5,4,6,3,3,1,2,3,2,2.166666667,-0.435582124,7,5,-0.01245665,0.000242036,1.8,0,27.2,63.36,0.022964613,0.064801337,0.076290864,0.057134781,-0.078685294,-0.078278591,0.039074426,0.057938232,-0.022133184,-0.035607594,3.641344097,0.037782493,1.839563295,6,-0.006107307,0.9,45.28,0.043882975,0.06669268,-0.078499961,-0.02867647,0.048008491
1014,4,2,D/B2,1,7,2,6,1,3,1,3,4,3,1.166666667,0.579993673,0,3,-0.025926606,0.028197019,0,0,0,54.44,0.002119179,0.020828016,0.074688587,0.059236793,-0.08517313,-0.063584922,0.052730511,0.039627275,-0.033897523,-0.021679237,13.47913763,37.34951072,25.41432418,1.5,0.001135207,0,27.22,0.011473598,0.06689225,-0.074701368,-0.027829938,0.046261725
1015,3,3,C1,0,3,6,6,7,7,5,5,1,1,4.333333333,1.27971585,6,3,-0.007597494,0.037465457,2.24,27.44,155.44,148.84,0.112319856,0.113972421,0.062442678,0.079879208,-0.069066942,-0.095074572,0.099285424,0.119343249,-0.109958608,-0.096569994,21.68127071,28.71737576,25.19932324,4.5,0.014933982,14.84,152.14,0.113146139,0.07092491,-0.082770984,-0.103041258,0.109411287
1016,4,3,D/C1,1,6,2,1,5,5,6,5,3,1,1.833333333,2.076196339,1,2,-0.066363817,-0.00783751,45.4,22.88,118.44,183.4,0.153229486,0.059152135,0.07224194,0.061097147,-0.076079747,-0.056560239,0.0781024,0.038650169,-0.08948714,-0.036503635,-5.996717103,-6.98837738,-6.492547242,1.5,-0.037100664,34.14,150.92,0.106190811,0.06699977,-0.066464146,-0.063619664,0.059305873
1019,2,2,B4,0,3.5,6,7,3,7,1,1,3,2,3.333333333,-0.457340618,2,1,0.006989522,-0.007863274,0,141.88,0.68,169.32,0.013743128,0,0.068404917,0.103084686,-0.065665443,-0.067256779,0.064258886,0.059384243,-0.079004039,-0.071815142,20.85157387,30.52446566,25.68801977,1.5,-0.000436876,70.94,85,0.006871564,0.08476805,-0.066480127,-0.075501914,0.06188006
1020,4,2,D/B4,1,6,5,5,6,7,2,1,1,1,3.833333333,0.248792844,10,16,0.16871237,-0.006083637,7.64,33.68,153.48,136.32,0.01528735,0.019321747,0.114647082,0.147243144,-0.114081994,-0.156561929,0.133052366,0.115932479,-0.124417819,-0.111461774,24.47807583,18.29746249,21.38776916,13,0.081314367,20.66,144.9,0.017304549,0.13193831,-0.135078017,-0.117639402,0.124502849
1021,1,1,A2,0,3,3,2,1,1,1,1,3,5,0.166666667,-0.547687646,5,5,-0.000798229,-0.030257206,0,0,94.88,7.44,0.039190898,0.000900946,0.028306948,0.051093384,-0.025413591,-0.043807864,0.041390101,0.059662398,-0.056177384,-0.073870215,5.807817025,9.087555858,7.447686442,5,-0.015527718,0,51.16,0.020045922,0.03863097,-0.035396356,-0.064935804,0.050472366
1022,2,2,B2,0,2,4,7,3,3,1,1,3,2,2.333333333,-0.7283817,2,3,0.000290677,0.004826914,0,0,61.88,93.8,0.004941668,0.032745726,0.045036667,0.063555433,-0.045093319,-0.062028501,0.048806263,0.117919258,-0.067675206,-0.111521491,18.84943709,12.650024,15.74973055,2.5,0.002558796,0,77.84,0.018843697,0.05415323,-0.052882926,-0.085311086,0.067582441
1023,4,3,D/C1,1,7,6,6,5,3,5,5,1,1,3.333333333,2.002492069,9,3,0,0,0,0,128.64,95.72,0.274604438,0.414045469,0.079256926,0.059590564,-0.064942612,-0.051646274,0.068653775,0.061490806,-0.098643019,-0.054679229,32.27296247,23.61562478,27.94429363,6,0,0,112.18,0.344324954,0.06980929,-0.058224738,-0.077664369,0.065024691
1024,2,2,B4,0,1,6,7,3,4,2,2,1,1,3.333333333,-0.452224882,16,14,0.121791586,0.176320861,0,0,114.4,139.04,0.010339229,0.053431526,0.070599685,0.057527667,-0.055680067,-0.056969594,0.062943214,0.06820878,-0.087253012,-0.077946004,-1.533702576,10.56613842,4.516217922,15,0.149056224,0,126.72,0.031885378,0.06445445,-0.056269107,-0.083100711,0.065492393
1025,2,2,B2,0,4,2,6,1,3,1,2,4,2,1.333333333,-0.164541041,0,5,0.044785827,-0.001350036,0,0,0,72.72,0.021129404,0.134907815,0.081456021,0.061401093,-0.066866763,-0.055613099,0.032274942,0.051941784,-0.036364823,-0.055475786,5.076066345,13.44379278,9.259929563,2.5,0.021717896,0,36.36,0.07801861,0.07151361,-0.061217807,-0.04537863,0.042659437
1026,3,3,C1,0,4.5,4,4,3,5,1,5,3,1,2.333333333,0.533163634,9,10,0.158853925,0.101837724,0,23.88,13.76,152.44,0.030466311,0.409511926,0.079712251,0.116139691,-0.064854083,-0.106683409,0.03413298,0.122607797,-0.052350152,-0.124739638,4.966369355,22.39359081,13.67998008,9.5,0.130345825,11.94,83.1,0.219989119,0.09794008,-0.087076426,-0.089002138,0.080642039
1027,2,2,B4,0,3,6,6,6,5,4,1,1,1,3.833333333,0.215507328,8,3,-0.130781678,0.091748299,24.2,14.04,223.16,192.16,0.041906574,0.062530231,0.075737437,0.072038317,-0.071400634,-0.045080405,0.088457182,0.05757111,-0.102597947,-0.083088637,36.32008988,0.22666975,18.27337982,5.5,-0.01951669,19.12,207.66,0.052218403,0.07411035,-0.060109371,-0.093998841,0.075282375
1048,3,3,C1,0,2.5,5,6,3,6,3,5,3,1,3,0.680572173,2,14,0.004588725,-0.004320928,0,0,22.08,167.08,0.065828938,0.218679632,0.056643673,0.061152291,-0.050224628,-0.057157148,0.049654181,0.052044492,-0.062459941,-0.049145902,14.55735849,19.74027299,17.14881574,8,0.000133899,0,94.58,0.142254285,0.05889619,-0.053562672,-0.055620282,0.050795448
